Group,Trait,House and Planets,Status,Points
Wealth & Resources Trait,Wealth Potential,Rahu (innovation & risk),Rahu very strong & well placed for this trait (own/exalted in key houses),2
Wealth & Resources Trait,Wealth Potential,Rahu (innovation & risk),Rahu strong or benefic-supported for this trait,1
Wealth & Resources Trait,Wealth Potential,Rahu (innovation & risk),Rahu weak or somewhat afflicted for this trait,-1
Wealth & Resources Trait,Wealth Potential,Rahu (innovation & risk),Rahu very weak/debilitated & heavily afflicted for this trait,-2
Wealth & Resources Trait,Wealth Potential,2nd house & lord (values/wealth),2H lord strong & well placed (supports this trait),2
Wealth & Resources Trait,Wealth Potential,2nd house & lord (values/wealth),"2H lord average, some benefic support",1
Wealth & Resources Trait,Wealth Potential,2nd house & lord (values/wealth),2H lord weak or placed in 6/8/12,-1
Wealth & Resources Trait,Wealth Potential,2nd house & lord (values/wealth),2H lord debilitated & heavily afflicted,-2
Wealth & Resources Trait,Wealth Potential,11th house & lord (gains/networks),11H lord strong & well placed (supports this trait),2
Wealth & Resources Trait,Wealth Potential,11th house & lord (gains/networks),"11H lord average, some benefic support",1
Wealth & Resources Trait,Wealth Potential,11th house & lord (gains/networks),11H lord weak or placed in 6/8/12,-1
Wealth & Resources Trait,Wealth Potential,11th house & lord (gains/networks),11H lord debilitated & heavily afflicted,-2
Wealth & Resources Trait,Wealth Potential,9th house & lord (dharma/luck),9H lord strong & well placed (supports this trait),2
Wealth & Resources Trait,Wealth Potential,9th house & lord (dharma/luck),"9H lord average, some benefic support",1
Wealth & Resources Trait,Wealth Potential,9th house & lord (dharma/luck),9H lord weak or placed in 6/8/12,-1
Wealth & Resources Trait,Wealth Potential,9th house & lord (dharma/luck),9H lord debilitated & heavily afflicted,-2
Wealth & Resources Trait,Wealth Potential,10th house & lord (career/status),10H lord strong & well placed (supports this trait),2
Wealth & Resources Trait,Wealth Potential,10th house & lord (career/status),"10H lord average, some benefic support",1
Wealth & Resources Trait,Wealth Potential,10th house & lord (career/status),10H lord weak or placed in 6/8/12,-1
Wealth & Resources Trait,Wealth Potential,10th house & lord (career/status),10H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Health & Vitality,Base,Base,5
Emotional & Relationship Trait,Health & Vitality,Sun (identity & leadership),Sun very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Health & Vitality,Sun (identity & leadership),Sun strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Health & Vitality,Sun (identity & leadership),Sun weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Health & Vitality,Sun (identity & leadership),Sun very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Health & Vitality,Moon (mind & emotions),Moon very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Health & Vitality,Moon (mind & emotions),Moon strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Health & Vitality,Moon (mind & emotions),Moon weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Health & Vitality,Moon (mind & emotions),Moon very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Health & Vitality,Mars (drive & execution),Mars very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Health & Vitality,Mars (drive & execution),Mars strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Health & Vitality,Mars (drive & execution),Mars weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Health & Vitality,Mars (drive & execution),Mars very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Health & Vitality,Saturn (discipline & structure),Saturn very strong & well placed for this trait (own/exalted in key houses),2
Emotional & Relationship Trait,Health & Vitality,Saturn (discipline & structure),Saturn strong or benefic-supported for this trait,1
Emotional & Relationship Trait,Health & Vitality,Saturn (discipline & structure),Saturn weak or somewhat afflicted for this trait,-1
Emotional & Relationship Trait,Health & Vitality,Saturn (discipline & structure),Saturn very weak/debilitated & heavily afflicted for this trait,-2
Emotional & Relationship Trait,Health & Vitality,1st house & lord (self/body),1H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Health & Vitality,1st house & lord (self/body),"1H lord average, some benefic support",1
Emotional & Relationship Trait,Health & Vitality,1st house & lord (self/body),1H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Health & Vitality,1st house & lord (self/body),1H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Health & Vitality,6th house & lord (daily work/service),6H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Health & Vitality,6th house & lord (daily work/service),"6H lord average, some benefic support",1
Emotional & Relationship Trait,Health & Vitality,6th house & lord (daily work/service),6H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Health & Vitality,6th house & lord (daily work/service),6H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Health & Vitality,8th house & lord (transformation),8H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Health & Vitality,8th house & lord (transformation),"8H lord average, some benefic support",1
Emotional & Relationship Trait,Health & Vitality,8th house & lord (transformation),8H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Health & Vitality,8th house & lord (transformation),8H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Health & Vitality,12th house & lord (loss/spirituality),12H lord strong & well placed (supports this trait),2
Emotional & Relationship Trait,Health & Vitality,12th house & lord (loss/spirituality),"12H lord average, some benefic support",1
Emotional & Relationship Trait,Health & Vitality,12th house & lord (loss/spirituality),12H lord weak or placed in 6/8/12,-1
Emotional & Relationship Trait,Health & Vitality,12th house & lord (loss/spirituality),12H lord debilitated & heavily afflicted,-2
Emotional & Relationship Trait,Health & Vitality,Lagna & lord (core nature),Lagna strong & well supported,1
Emotional & Relationship Trait,Health & Vitality,Lagna & lord (core nature),Lagna weak or afflicted,-1
